District,State,Students,ELL_Percent,IEP_Percent,Pupil_Teacher_Ratio,Exp_Rev_Ratio,Strike
ALABASTER CITY,Alabama,6114,0.06,0.07,16.92,1.14,0
ALBERTVILLE CITY,Alabama,5447,0.16,0.04,18.78,1.044,0
ALEXANDER CITY,Alabama,3055,0.02,0.09,16.47,0.939,0
ANDALUSIA CITY,Alabama,1744,0.01,0.08,17.71,1.003,0
ANNISTON CITY,Alabama,2069,0.01,0.09,16.49,1.024,0
ARAB CITY,Alabama,2612,0.01,0.06,16.3,1.078,0
ATHENS CITY,Alabama,5101,0.06,0.07,24.47,0.998,0
ATTALLA CITY,Alabama,1611,0.02,0.08,17.15,0.987,0
AUBURN CITY,Alabama,8543,0.02,0.07,17.76,0.937,0
AUTAUGA COUNTY,Alabama,9307,0.01,0.07,17.73,0.955,0
BALDWIN COUNTY,Alabama,31268,0.03,0.09,17.81,0.899,0
BESSEMER CITY,Alabama,3605,0.03,0.06,18.03,0.998,0
BIBB COUNTY,Alabama,3291,0.01,0.1,17.37,0.983,0
BIRMINGHAM CITY,Alabama,24070,0.03,0.07,18.94,1.032,0
BLOUNT COUNTY,Alabama,7793,0.04,0.09,17.41,1.02,0
BOAZ CITY,Alabama,2389,0.07,0.05,18.44,1.029,0
BREWTON CITY,Alabama,1113,0.01,0.07,15.71,1.33,0
BULLOCK COUNTY,Alabama,1476,0.08,0.07,17.16,1.003,0
BUTLER COUNTY,Alabama,3131,0,0.07,18.36,0.982,0
CALHOUN COUNTY,Alabama,8888,0.01,0.08,17.16,1.02,0
CHAMBERS COUNTY,Alabama,3651,0.01,0.11,16.67,1.103,0
CHEROKEE COUNTY,Alabama,4021,0,0.08,16.99,0.982,0
CHICKASAW CITY,Alabama,1056,0.01,0.11,22.47,0.996,0
CHILTON COUNTY,Alabama,7756,0.04,0.07,17.57,0.972,0
CHOCTAW COUNTY,Alabama,1417,0,0.09,16.19,0.983,0
CLARKE COUNTY,Alabama,2691,0,0.07,16.71,1.194,0
CLAY COUNTY,Alabama,1936,0.01,0.08,17.06,1.011,0
CLEBURNE COUNTY,Alabama,2614,0,0.08,16.54,1.019,0
COFFEE COUNTY,Alabama,2148,0,0.07,18.53,1.066,0
COLBERT COUNTY,Alabama,2619,0.01,0.1,15.41,0.991,0
CONECUH COUNTY,Alabama,1858,0.01,0.06,24.94,1.041,0
COVINGTON COUNTY,Alabama,3121,0,0.1,15.8,0.981,0
CRENSHAW COUNTY,Alabama,2293,0.01,0.09,17.44,1.073,0
CULLMAN CITY,Alabama,3094,0.03,0.07,16.5,1.073,0
CULLMAN COUNTY,Alabama,9602,0.02,0.1,17.44,1.003,0
DALE COUNTY,Alabama,3135,0.01,0.07,18.2,0.966,0
DALEVILLE CITY,Alabama,1027,0.06,0.09,16.05,1.058,0
DALLAS COUNTY,Alabama,3145,0,0.1,16.01,0.975,0
DECATUR CITY,Alabama,8746,0.1,0.09,15.1,0.989,0
DEKALB COUNTY,Alabama,9023,0.12,0.08,16.04,0.992,0
DEMOPOLIS CITY,Alabama,2296,0.02,0.06,17.43,1.078,0
DOTHAN CITY,Alabama,9213,0.02,0.08,19.48,1.018,0
ELMORE COUNTY,Alabama,11417,0.01,0.08,19.82,1.029,0
ENTERPRISE CITY,Alabama,7052,0.05,0.05,20.03,0.813,0
ESCAMBIA COUNTY,Alabama,4430,0,0.09,17.14,1.153,0
ETOWAH COUNTY,Alabama,8764,0.01,0.07,17.15,1.163,0
EUFAULA CITY,Alabama,3949,0.02,0.05,26.15,0.982,0
FAIRFIELD CITY,Alabama,1740,0.02,0.08,18.71,1.08,0
FAYETTE COUNTY,Alabama,2375,0,0.09,17.36,0.99,0
FLORENCE CITY,Alabama,4470,0.02,0.07,15.78,1.022,0
FORT PAYNE CITY,Alabama,3221,0.14,0.05,17.51,0.979,0
FRANKLIN COUNTY,Alabama,3607,0.05,0.09,16.64,1.022,0
GADSDEN CITY,Alabama,5181,0.06,0.09,15.91,0.988,0
GENEVA CITY,Alabama,1269,0,0.1,15.86,1.037,0
GENEVA COUNTY,Alabama,2775,0.02,0.1,17.77,1.05,0
GREENE COUNTY,Alabama,1154,0.01,0.05,19.56,1.097,0
GUNTERSVILLE CITY,Alabama,1970,0.02,0.05,17.75,1.027,0
HALE COUNTY,Alabama,2611,0.01,0.07,18.13,1.015,0
HALEYVILLE CITY,Alabama,1726,0.04,0.07,15.69,1.003,0
HARTSELLE CITY,Alabama,3210,0.01,0.08,16.92,0.978,0
HENRY COUNTY,Alabama,2489,0.01,0.08,17.17,0.984,0
HOMEWOOD CITY,Alabama,4170,0.05,0.06,15.1,0.965,0
HOOVER CITY,Alabama,13938,0.04,0.07,14.69,0.996,0
HOUSTON COUNTY,Alabama,6319,0.01,0.08,17.7,1.009,0
HUNTSVILLE CITY,Alabama,24026,0.05,0.08,16.5,1.25,0
JACKSON COUNTY,Alabama,5470,0.01,0.08,16.42,1.207,0
JACKSONVILLE CITY,Alabama,1590,0,0.09,17.01,1.012,0
JASPER CITY,Alabama,2722,0.05,0.1,16.28,1.015,0
JEFFERSON COUNTY,Alabama,36171,0.04,0.08,18.22,0.991,0
LAMAR COUNTY,Alabama,2366,0.01,0.09,17.79,0.98,0
LAUDERDALE COUNTY,Alabama,8409,0,0.08,18.22,1.003,0
LAWRENCE COUNTY,Alabama,4834,0.01,0.08,16.95,0.991,0
LEE COUNTY,Alabama,9653,0.01,0.08,16.79,0.986,0
LEEDS CITY,Alabama,1973,0.05,0.09,27.4,0.943,0
LIMESTONE COUNTY,Alabama,9209,0.03,0.08,18.29,1.183,0
LOWNDES COUNTY,Alabama,1508,0,0.08,16.04,0.978,0
MACON COUNTY,Alabama,2023,0,0.06,17.98,1.068,0
MADISON CITY,Alabama,10440,0.03,0.07,18.49,1.109,0
MADISON COUNTY,Alabama,19352,0.01,0.08,18.26,0.996,0
MARION COUNTY,Alabama,3358,0.01,0.09,17.28,0.973,0
MARSHALL COUNTY,Alabama,5687,0.06,0.08,19.02,1.054,0
MIDFIELD CITY,Alabama,1086,0.02,0.07,18.89,1.047,0
MOBILE COUNTY,Alabama,56628,0.01,0.08,18.07,1.056,0
MONROE COUNTY,Alabama,3499,0,0.09,16.47,1.006,0
MONTGOMERY COUNTY,Alabama,30322,0.05,0.06,17.84,0.98,0
MORGAN COUNTY,Alabama,7683,0.04,0.08,17.21,1.198,0
MOUNTAIN BROOK CITY,Alabama,4343,0,0.06,13.77,0.986,0
MUSCLE SHOALS CITY,Alabama,2883,0.02,0.07,15.93,1.003,0
ONEONTA CITY,Alabama,1492,0.06,0.06,17.87,0.958,0
OPELIKA CITY,Alabama,4435,0.04,0.07,14.73,1.026,0
OPP CITY,Alabama,1322,0,0.09,16.84,1.031,0
OXFORD CITY,Alabama,4143,0.03,0.08,15.58,0.984,0
OZARK CITY,Alabama,2118,0.01,0.08,16.68,0.959,0
PELHAM CITY,ALABAMA,3181,0.11,0.07,18.28,1.219,0
PELL CITY,Alabama,3999,0.01,0.06,17.56,1.019,0
PHENIX CITY,Alabama,7029,0.01,0.06,18.74,1.02,0
PICKENS COUNTY,Alabama,2609,0.01,0.09,17.28,0.967,0
PIEDMONT CITY,Alabama,1235,0,0.07,18.41,1.007,0
PIKE COUNTY,Alabama,2122,0.01,0.09,15.6,1.002,0
RANDOLPH COUNTY,Alabama,2251,0.02,0.1,16.74,0.996,0
ROANOKE CITY,Alabama,1535,0,0.06,18.27,1.019,0
RUSSELL COUNTY,Alabama,3399,0.01,0.07,17.89,0.964,0
RUSSELLVILLE CITY,Alabama,2530,0.16,0.06,14.93,0.989,0
SARALAND CITY,Alabama,3054,0,0.06,18.74,1,0
SATSUMA CITY,Alabama,1417,0,0.08,20,1.082,0
SCOTTSBORO CITY,Alabama,2522,0.02,0.08,16.7,0.98,0
SELMA CITY,Alabama,3516,0,0.06,19.32,1.011,0
SHEFFIELD CITY,Alabama,1068,0.01,0.1,14.05,1.095,0
SHELBY COUNTY,Alabama,20250,0.03,0.08,17.2,1.046,0
ST CLAIR COUNTY,Alabama,9124,0.01,0.09,18.45,1.012,0
SUMTER COUNTY,Alabama,1569,0,0.1,15.69,1.032,0
SYLACAUGA CITY,Alabama,2274,0.01,0.07,17.1,0.979,0
TALLADEGA CITY,Alabama,1980,0.01,0.09,15.35,1.012,0
TALLADEGA COUNTY,Alabama,7613,0,0.08,17.74,0.984,0
TALLAPOOSA COUNTY,Alabama,2928,0,0.08,17.15,0.985,0
TALLASSEE CITY,Alabama,1849,0.01,0.08,17.95,0.979,0
TARRANT CITY,Alabama,1170,0.11,0.09,19.5,1.037,0
THOMASVILLE CITY,Alabama,1271,0,0.07,15.85,0.988,0
TROY CITY,Alabama,1928,0.01,0.08,17.07,1.023,0
TRUSSVILLE CITY,Alabama,4539,0,0.05,17.8,1.094,0
TUSCALOOSA CITY,Alabama,10416,0.02,0.09,15.9,0.938,0
TUSCALOOSA COUNTY,Alabama,18430,0.04,0.1,18.56,0.935,0
TUSCUMBIA CITY,Alabama,1517,0,0.07,16.67,1.022,0
VESTAVIA HILLS CITY,Alabama,7150,0.01,0.05,16.67,1.007,0
WALKER COUNTY,Alabama,7723,0.01,0.08,17.96,1.007,0
WASHINGTON COUNTY,Alabama,2812,0,0.09,15.35,0.99,0
WINFIELD CITY,Alabama,1276,0.01,0.07,16.33,1.115,0
WINSTON COUNTY,Alabama,2486,0,0.1,17.51,1.082,0
ANCHORAGE SCHOOL DISTRICT,Alaska,48238,0.13,0.14,17.11,1.005,0
BERING STRAIT SCHOOL DISTRICT,Alaska,1970,0.32,0.09,10.98,1.016,0
FAIRBANKS NORTH STAR BOROUGH SCHOOL DISTRICT,Alaska,13822,0.03,0.16,17.57,0.967,0
