District,State,Students,ELL_Percent,IEP_Percent,Pupil_Teacher_Ratio,Exp_Rev_Ratio,Strike
AGUA FRIA UNION HIGH SCHOOL DISTRICT,Arizona,7788,0.01,0.1,23.25,0.838,1
ALHAMBRA ELEMENTARY DISTRICT,Arizona,13102,0.18,0.1,22.47,0.977,1
AMPHITHEATER UNIFIED DISTRICT,Arizona,13812,0.06,0.17,17.11,0.983,1
APACHE JUNCTION UNIFIED DISTRICT,Arizona,3745,0.03,0.18,19.1,0.84,1
AVONDALE ELEMENTARY DISTRICT,Arizona,5584,0.1,0.12,22.11,0.856,1
BALSZ ELEMENTARY DISTRICT,Arizona,2474,0.22,0.12,19,1.206,1
BENSON UNIFIED SCHOOL DISTRICT,Arizona,1238,0.01,0.15,18.48,0.915,1
BLUE RIDGE UNIFIED SCHOOL DISTRICT NO. 32,Arizona,2087,0.03,0.11,19.5,0.796,1
BUCKEYE ELEMENTARY DISTRICT,Arizona,4900,0.08,0.14,20.37,0.898,1
BUCKEYE UNION HIGH SCHOOL DISTRICT,Arizona,4097,0.02,0.12,22.19,0.978,1
BULLHEAD CITY SCHOOL DISTRICT,Arizona,2775,0.04,0.13,17.68,0.962,1
CAMP VERDE UNIFIED DISTRICT,Arizona,1518,0.04,0.14,17.35,0.971,1
CARTWRIGHT ELEMENTARY DISTRICT,Arizona,17940,0.2,0.1,20.76,1.027,1
CASA GRANDE ELEMENTARY DISTRICT,Arizona,6948,0.06,0.13,21.62,0.948,1
CASA GRANDE UNION HIGH SCHOOL DISTRICT,Arizona,3638,0.01,0.13,27.98,0.926,1
CATALINA FOOTHILLS UNIFIED DISTRICT,Arizona,5042,0.02,0.08,18.59,1.024,1
CAVE CREEK UNIFIED DISTRICT,Arizona,5463,0.01,0.14,22.08,1.06,1
CHANDLER UNIFIED DISTRICT #80,Arizona,44352,0.03,0.11,19.48,0.956,1
CHINLE UNIFIED DISTRICT,Arizona,3517,0.07,0.14,16.06,0.887,1
CHINO VALLEY UNIFIED DISTRICT,Arizona,2324,0.05,0.14,21.03,0.993,1
COLORADO RIVER UNION HIGH SCHOOL DISTRICT,Arizona,1914,0.01,0.11,22.88,0.806,1
COOLIDGE UNIFIED DISTRICT,Arizona,2110,0.04,0.11,19.43,0.962,1
COTTONWOOD-OAK CREEK ELEMENTARY DISTRICT,Arizona,2084,0.1,0.11,18.66,1.061,1
CRANE ELEMENTARY DISTRICT,Arizona,6247,0.12,0.11,22.58,0.972,1
CREIGHTON ELEMENTARY DISTRICT,Arizona,6395,0.24,0.1,18.23,1.465,1
DEER VALLEY UNIFIED DISTRICT,Arizona,33907,0.02,0.11,17.93,1.063,1
DOUGLAS UNIFIED DISTRICT,Arizona,3664,0.18,0.06,22.21,1.007,1
DYSART UNIFIED DISTRICT,Arizona,24672,0.03,0.14,21.37,0.93,1
FLAGSTAFF UNIFIED DISTRICT,Arizona,9650,0.05,0.15,16.85,0.959,1
FLORENCE UNIFIED SCHOOL DISTRICT,Arizona,9365,0.03,0.15,22.33,0.929,1
FLOWING WELLS UNIFIED DISTRICT,Arizona,5438,0.07,0.16,18.15,1.029,1
FOUNTAIN HILLS UNIFIED DISTRICT,Arizona,1494,0.01,0.11,18.49,1.107,1
FOWLER ELEMENTARY DISTRICT,Arizona,4714,0.18,0.11,20.04,1.017,1
GADSDEN ELEMENTARY DISTRICT,Arizona,5292,0.42,0.12,34.82,0.992,1
GANADO UNIFIED SCHOOL DISTRICT,Arizona,1389,0.07,0.07,14.86,0.967,1
GILBERT UNIFIED DISTRICT,Arizona,34889,0.01,0.13,18.7,0.854,1
GLENDALE ELEMENTARY DISTRICT,Arizona,13144,0.17,0.12,21.01,1.021,1
GLENDALE UNION HIGH SCHOOL DISTRICT,Arizona,15730,0.04,0.12,21.28,0.992,1
GLOBE UNIFIED DISTRICT,Arizona,1619,0.01,0.14,19.8,0.928,1
HIGLEY UNIFIED SCHOOL DISTRICT,Arizona,12157,0.01,0.13,19.85,0.838,1
HOLBROOK UNIFIED DISTRICT,Arizona,2037,0.04,0.11,15.22,0.886,1
HUMBOLDT UNIFIED DISTRICT,Arizona,5704,0.03,0.14,20.02,0.91,1
ISAAC ELEMENTARY DISTRICT,Arizona,7297,0.3,0.11,19.67,1.064,1
J O COMBS UNIFIED SCHOOL DISTRICT,Arizona,4563,0.02,0.18,22.8,0.928,1
KAYENTA UNIFIED SCHOOL DISTRICT # 27,Arizona,1693,0.08,0.12,14.62,0.782,1
KINGMAN UNIFIED SCHOOL DISTRICT,Arizona,6725,0.02,0.15,23.21,0.968,1
KYRENE ELEMENTARY DISTRICT,Arizona,16943,0.02,0.09,17.8,0.974,1
LAKE HAVASU UNIFIED DISTRICT,Arizona,5466,0.02,0.12,23.36,0.87,1
LAVEEN ELEMENTARY DISTRICT,Arizona,6854,0.07,0.14,52.72,1.026,1
LIBERTY ELEMENTARY DISTRICT,Arizona,3410,0.06,0.12,21.16,1.343,1
LITCHFIELD ELEMENTARY DISTRICT,Arizona,11411,0.03,0.1,23.08,1.024,1
LITTLETON ELEMENTARY DISTRICT,Arizona,5655,0.11,0.13,18.24,0.946,1
MADISON ELEMENTARY DISTRICT,Arizona,5876,0.04,0.09,20.73,0.818,1
MARANA UNIFIED DISTRICT,Arizona,12046,0.02,0.15,18.1,0.991,1
MARICOPA UNIFIED SCHOOL DISTRICT,Arizona,6646,0.03,0.15,23.71,0.903,1
MESA UNIFIED DISTRICT,Arizona,63444,0.06,0.15,19.07,1.005,1
MIAMI UNIFIED DISTRICT,Arizona,1178,0.03,0.12,19.8,0.939,1
